convex_id,user_convex_id,amount,pack,status,stripe_session_id,created_at_ms,creation_time_ms
"kh73vqpgfqqv24ga6aescycpjx7y2jf6","k175tgkm37pdpgf8b4n1cs98ps7y23g0","4.98","starter","completed","cs_live_a1NNPCD9NUnCwO8hNbTNg5Me072gV67ml17EdrWS49UrnQ9pKnHqdMSrzI","1766860116892","1766860116892.7488"
"kh7dvkn4jpyewvbe01ettkxmy17xyzqw","k17fsfjz0jqewr5vxrhab0h8p97xzyem","4.98","starter","completed","cs_live_a1w5tlcqM6kCqeEmiInV5qAt7bsHdkjUNygSsEZQoJo4twP1UODki9L5zw","1766676165550","1766676165550.8396"
"kh7dx9rjrdnnsys68ahrqxvem17xvkbv","k17fzv6eqm8xhxscvbfxwtt19s7xt9b2","4.98","starter","completed","cs_live_a1068A4wdkCD5TwW75adgGYoYLZf1SXaSybqWUpjPymffwAcPM2TSJ1PPC","1766472876534","1766472876534.3472"
"kh72fw3rt0hhr6bmqakjc63kqs7xj3f6","k17d2p636zrw3xb9k0rycez1597xjdm0","4.98","starter","completed","cs_live_a1AHe83YqWQIb5mn3FUtahuqoJJGdEluKF0JHe5JRyqjNCcA4wsGKcbItI","1766174604855","1766174604855.4004"
"kh74cjc21713yt9cmt3fwkdmz97xkstn","k17d2p636zrw3xb9k0rycez1597xjdm0","9.98","creator","completed","cs_live_a1xtqQIngd8Q2jZ1vJKxx7uo4vaXURsAsurJda1MAqZR31HsIiyexPyuc9","1766155122353","1766155122353.1812"
"kh77vtc1qwm3w96rprgvhv4tw97wp0z2","k17egaswxgajd63vy2trcc9xr57wqrsm","4.98","starter","completed","cs_live_a1gdT7NDdqVGUXMfFtg2OrTCASZ1zZOz55sjCQR3cFhdUKStfzFLisxP52","1764928740896","1764928740896.3137"
"kh75a3nq6rp9yh41c3095kpten7whc7x","k1741kyrysv578690xdpegyvn97vs4f9","4.98","starter","completed","cs_live_a1MVZiJxBWMM4LAfHDtB3pt3Cjaa30zHWi1y1dR41N6DHibWQIyXeRqBNv","1764661030309","1764661030305.1787"
"kh7dahj0zzbrbsnm0mxhytvcyn7wgz59","k176mtqaf7k7az8m5kvdrtkawd7v7g00","4.98","starter","completed","cs_test_a1gDVSHPR6z2IxsIE5wJMVabVYZYoGRKsILpeAsTCQ67CGl1vLEKlgpXyw","1764660770714","1764660770710.951"
