user_id,source,reference_id,pack,amount,status,stripe_session_id,created_at
"k175tgkm37pdpgf8b4n1cs98ps7y23g0","order","kh73vqpgfqqv24ga6aescycpjx7y2jf6","starter","4.98","completed","cs_live_a1NNPCD9NUnCwO8hNbTNg5Me072gV67ml17EdrWS49UrnQ9pKnHqdMSrzI","2025-12-27T18:28:36.892Z"
"k17fsfjz0jqewr5vxrhab0h8p97xzyem","order","kh7dvkn4jpyewvbe01ettkxmy17xyzqw","starter","4.98","completed","cs_live_a1w5tlcqM6kCqeEmiInV5qAt7bsHdkjUNygSsEZQoJo4twP1UODki9L5zw","2025-12-25T15:22:45.550Z"
"k17fzv6eqm8xhxscvbfxwtt19s7xt9b2","order","kh7dx9rjrdnnsys68ahrqxvem17xvkbv","starter","4.98","completed","cs_live_a1068A4wdkCD5TwW75adgGYoYLZf1SXaSybqWUpjPymffwAcPM2TSJ1PPC","2025-12-23T06:54:36.534Z"
"k17d2p636zrw3xb9k0rycez1597xjdm0","order","kh72fw3rt0hhr6bmqakjc63kqs7xj3f6","starter","4.98","completed","cs_live_a1AHe83YqWQIb5mn3FUtahuqoJJGdEluKF0JHe5JRyqjNCcA4wsGKcbItI","2025-12-19T20:03:24.855Z"
"k17d2p636zrw3xb9k0rycez1597xjdm0","order","kh74cjc21713yt9cmt3fwkdmz97xkstn","creator","9.98","completed","cs_live_a1xtqQIngd8Q2jZ1vJKxx7uo4vaXURsAsurJda1MAqZR31HsIiyexPyuc9","2025-12-19T14:38:42.353Z"
"k17egaswxgajd63vy2trcc9xr57wqrsm","order","kh77vtc1qwm3w96rprgvhv4tw97wp0z2","starter","4.98","completed","cs_live_a1gdT7NDdqVGUXMfFtg2OrTCASZ1zZOz55sjCQR3cFhdUKStfzFLisxP52","2025-12-05T09:59:00.896Z"
"k1741kyrysv578690xdpegyvn97vs4f9","order","kh75a3nq6rp9yh41c3095kpten7whc7x","starter","4.98","completed","cs_live_a1MVZiJxBWMM4LAfHDtB3pt3Cjaa30zHWi1y1dR41N6DHibWQIyXeRqBNv","2025-12-02T07:37:10.309Z"
"k176mtqaf7k7az8m5kvdrtkawd7v7g00","order","kh7dahj0zzbrbsnm0mxhytvcyn7wgz59","starter","4.98","completed","cs_test_a1gDVSHPR6z2IxsIE5wJMVabVYZYoGRKsILpeAsTCQ67CGl1vLEKlgpXyw","2025-12-02T07:32:50.714Z"
